code,libelle,niveau
22.21,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",classe
22.22,Fabrication d'emballages en matières plastiques,classe
22.23,Fabrication d'éléments en matières plastiques pour la construction,classe
22.29,Fabrication d'autres articles en matières plastiques,classe
23.11,Fabrication de verre plat,classe
23.12,Façonnage et transformation du verre plat,classe
23.13,Fabrication de verre creux,classe
23.14,Fabrication de fibres de verre,classe
23.19,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",classe
23.2,Fabrication de produits réfractaires,classe
23.31,Fabrication de carreaux en céramique,classe
23.32,"Fabrication de briques, tuiles et produits de construction, en terre cuite",classe
23.41,Fabrication d'articles céramiques à usage domestique ou ornemental,classe
23.42,Fabrication d'appareils sanitaires en céramique,classe
23.43,Fabrication d'isolateurs et pièces isolantes en céramique,classe
23.44,Fabrication d'autres produits céramiques à usage technique,classe
23.49,Fabrication d'autres produits céramiques,classe
23.51,Fabrication de ciment,classe
23.52,Fabrication de chaux et plâtre,classe
23.61,Fabrication d'éléments en béton pour la construction,classe
23.62,Fabrication d'éléments en plâtre pour la construction,classe
23.63,Fabrication de béton prêt à l'emploi,classe
23.64,Fabrication de mortiers et bétons secs,classe
23.65,Fabrication d'ouvrages en fibre-ciment,classe
23.69,"Fabrication d'autres ouvrages en béton, en ciment ou en plâtre",classe
23.7,"Taille, façonnage et finissage de pierres",classe
23.91,Fabrication de produits abrasifs,classe
23.99,Fabrication d'autres produits minéraux non métalliques n.c.a.,classe
24.1,Sidérurgie,classe
24.2,"Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier",classe
24.31,Étirage à froid de barres,classe
24.32,Laminage à froid de feuillards,classe
24.33,Profilage à froid par formage ou pliage,classe
24.34,Tréfilage à froid,classe
24.41,Production de métaux précieux,classe
24.42,Métallurgie de l'aluminium,classe
24.43,"Métallurgie du plomb, du zinc ou de l'étain",classe
24.44,Métallurgie du cuivre,classe
24.45,Métallurgie des autres métaux non ferreux,classe
24.46,Élaboration et transformation de matières nucléaires,classe
24.51,Fonderie de fonte,classe
24.52,Fonderie d'acier,classe
24.53,Fonderie de métaux légers,classe
24.54,Fonderie d'autres métaux non ferreux,classe
25.11,Fabrication de structures métalliques et de parties de structures,classe
25.12,Fabrication de portes et fenêtres en métal,classe
25.21,Fabrication de radiateurs et de chaudières pour le chauffage central,classe
25.29,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques",classe
25.3,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central",classe
25.4,Fabrication d'armes et de munitions,classe
25.5,"Forge, emboutissage, estampage ; métallurgie des poudres",classe
25.61,Traitement et revêtement des métaux,classe
25.62,Usinage,classe
25.71,Fabrication de coutellerie,classe
25.72,Fabrication de serrures et de ferrures,classe
25.73,Fabrication d'outillage,classe
25.91,Fabrication de fûts et emballages métalliques similaires,classe
25.92,Fabrication d'emballages métalliques légers,classe
